c,MSHA ID,Country / Area,Mine Name,Mine Name AKAs,Mine Name (Non-ENG),Complex Name,GEM Wiki Page (ENG),GEM Wiki Page (Non-ENG),Status,Status Detail,Project Type,Project Phase,Owners,Owner GEM Entity ID,Owners (Non-ENG),Parent Company,Company HQs,Capacity (Mtpa),Production (Mtpa),Year of Production,"Coal Output (Annual, Mst)",Mine Type,Mining Method,Mine Size (Km2),Mine Depth (m),Depth Accuracy,Workforce Size,Workforce Accuracy,Coal Type,Coal Grade,Percentage of Met Coal,Percentage of Thermal Coal,Accuracy Rating,Reported Year of Percentage Split,"Total Reserves (Proven and Probable, Mt)",Year of Total Reserves Recorded,"Total Resource (Inferred, Indicated, Measured)",Reserve to Production Ratio (R/P),Opening Year,Closing Year,Reported Life of Mine,Reported Year of Mine Life,Coalfield,Location,"Prefecture, District","State, Province",Subregion,Region,Latitude,Longitude,Location Accuracy,"Primary Consumer, Destination","Coal Plant, Steel Plant, Terminal","Coal Plant, Steel Plant, Terminal GEM Wiki",Gas-level Rating,Gas-level Rating Appraisal Year,Reported Coal Mine Methane Emissions (thousand tonnes per year),Year of Reported Coal Mine Methane Emissions,Source ID,Has associated plume data,Has associated CMM mitigation data,GEM Coal Mine Methane Emissions Estimate (MCM/yr),GEM Coal Mine Methane Emissions Estimate (M tonnes/yr),Methane Gas Content (m^3/tonne) (Updated),Methane Emissions Factor (Updated),CMM Emissions (CO2e 20 years),CMM Emissions (CO2e 100 years),ISO Code
M0489,,India,Block II (BOCP) Coal Mine,Cluster 2,,,https://www.gem.wiki/Block_II_mines,,Operating,,,,Bharat Coking Coal Ltd [100%],E100001000805 [100%],,Coal India,India,4,5.35,2023,,Underground & Surface,Mixed,8.52,250,Exact,1398,Estimate,Bituminous,Met,,,,,112,,-,21,,,-,,Dhanbad,,,Jharkhand,Southern Asia,Asia,23.75722302,86.79445561,Approximate,,,,,,,,,,,83.9,0.06,9.8,1.6,4.6,1.7,356
M0490,,India,Block-B Coal Mine,,,,https://www.gem.wiki/Block_B_coal_mine,,Operating,,,,Northern Coalfields Ltd [100%],E100001000802 [100%],,Coal India,India,4,5.47,2023,,Surface,Open Pit,13.39,50,Estimate,944,Estimate,Lignite,Thermal,,,,,116,2022,,21,2006,,10,,Singrauli,,Singrauli,Madhya Pradesh,Southern Asia,Asia,24.17502419,82.56028175,Exact,,,,,,,,,,,6.6,0.00,0.8,1.5,0.4,0.1,356
M0493,,India,Chhal Coal Mine,,,,https://www.gem.wiki/Chhal_OC_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,2.7,6.24,2023,,Surface,Open Pit,6.41,50,Estimate,986,Estimate,Subbituminous,Thermal,,,,,146,,-,23,,,-,,Mand-Raigarh,Lat,Raigarh,Chhattisgarh,Southern Asia,Asia,22.100202,83.110483,Exact,,,,,,,,,,,7.5,0.01,0.8,1.5,0.4,0.1,356
M0494,,India,Chirimiri Coal Mine,"Chirimiri Hill, North Chirimiri, West Chirimiri, Chirimiri UG, Chirimiri OC and Others",,,https://www.gem.wiki/Chirimiri_coal_mines,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,1.5,0.98,2023,,Underground & Surface,Mixed,24,74,Exact,614,Estimate,Subbituminous,Thermal,,,,,48,2022,362,49,,,-,,Chirimiri,Chirimiri,Korea,Chhattisgarh,Southern Asia,Asia,23.183958,82.336684,Exact,,,,,,,,,,,1.7,0.00,1.1,1.6,0.1,0,356
M0495,,India,Chitra East Coal Mine,,,,https://www.gem.wiki/Chitra_coal_mine,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India,India,1.9,1.75,2023,,Surface,Open Pit,7.8,50,Estimate,884,Exact,Subbituminous,Thermal,,,,,60,2020,-,34,1975,,-,,Deoghar,,,Jharkhand,Southern Asia,Asia,24.119,86.8636,Approximate,,,,,,,,,,,2.1,0.00,0.8,1.5,0.1,0,356
M0496,,India,Chotia Coal Mine,Chhotia,,,https://www.gem.wiki/Chotia_OC_coal_mine,,Operating,,,,Bharat Aluminium Company Ltd [100%],E100001010032 [100%],,Vedanta Ltd [51%]; Government of India [49%],India,1.4,1,2023,,Surface,Open Pit,11.79,50,Estimate,334,Estimate,Subbituminous,Thermal,,,,,11,,14,11,,,-,,Hasdeo Arand,Salaigot,Korba,Chhattisgarh,Southern Asia,Asia,22.780896,82.476655,Exact,,,,,,,,,,,1.2,0.00,0.8,1.5,0.1,0,356
M0508,,India,Dabor Coal Mine,Cluster 3,,,https://www.gem.wiki/Dabor_coal_mine,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India,India,1.8,0.33,2023,,Underground & Surface,Mixed,3.47,60,Estimate,533,Estimate,Subbituminous,Thermal,,,,,12,2014,-,36,,,-,,Raniganj,Asansol,Paschim Bardhaman,West Bengal,Southern Asia,Asia,23.789723,86.915206,Exact,,,,,,,,,,,0.4,0.00,0.9,1.5,0,0,356
M0513,,India,Dipka Coal Mine,,,,https://www.gem.wiki/Dipka_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,10,33.41,2023,,Surface,Open Pit,20,220,Exact,2725,Exact,Lignite,Thermal,,,,,165,2022,-,5,1992,,28,,Korba,,Korba,Chhattisgarh,Southern Asia,Asia,22.345077,82.544192,Exact,Coal Plant,Korba Super Thermal Power Station (NTPC),https://www.gem.wiki/Korba_Super_Thermal_Power_Station_(NTPC),,,,,,,,135.3,0.09,2.7,1.5,7.5,2.7,356
M0514,,India,Dudhichua Coal Mine,,,,https://www.gem.wiki/Dudhichua_coal_mine,,Operating,,,,Northern Coalfields Ltd [100%],E100001000802 [100%],,Coal India,India,*,25,2023,,Surface,Open Pit,23.91,240,Exact,3018,Exact,Subbituminous,Thermal,,,,,229,2022,-,9,1982,,19,,Singrauli,,Sonbhadra,Uttar Pradesh,Southern Asia,Asia,24.16474,82.67287,Exact,,,,,,,,,,,108.8,0.07,2.9,1.5,6,2.2,356
M0515,,India,Dulanga Coal Mine,,,,https://www.gem.wiki/Dulanga_coal_mine,,Operating,,,,NTPC Ltd [100%],E100000001926 [100%],,National Thermal Power Corporation,India,5,7,2024,,Surface,Open Pit,6.54,50,Estimate,1013,Estimate,Lignite,Thermal,,,,,152,2018,196,22,2020,,24,2023,Talcher,Darlipali,Sundergarh,Odisha,Southern Asia,Asia,21.951705,83.807564,Exact,Coal Plant,Darlipalli Super Thermal Power Station,https://www.gem.wiki/Darlipalli_Super_Thermal_Power_Station,,,,,,,,8.4,0.01,0.8,1.5,0.5,0.2,356
M0517,,India,Durgapur Coal Mine,,,,https://www.gem.wiki/Durgapur_Mine,,Operating,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India,India,2.3,2.5,2023,,Surface,Open Pit,16.23,50,Estimate,553,Estimate,Subbituminous,Thermal,,,,,47,,50,19,1980,,-,,Wardha Valley,Chandrapur,Chandrapur,Maharashtra,Southern Asia,Asia,20.0081,79.2989,Approximate,,,,,,,,,,,3,0.00,0.8,1.5,0.2,0.1,356
M0518,,India,Ena Coal Mine,Cluster 7,,,https://www.gem.wiki/Cluster_No._7_(BCCL),,Operating,,,,Bharat Coking Coal Ltd [100%],E100001000805 [100%],,Coal India,India,*,3.02,2023,,Surface,Open Pit,2.16,50,Estimate,698,Estimate,Subbituminous,Thermal,,,,,-,,-,-,,,25,2020,Dhanbad,,,Jharkhand,Southern Asia,Asia,23.7568,86.4094,Approximate,,,,,,,,,,,3.6,0.00,0.8,1.5,0.2,0.1,356
M0520,,India,Gare Palma IV 1 Coal Mine,"Mine 1, Coal Block Auction 2020",,,https://www.gem.wiki/Gare_Palma_IV_1_Coal_Mine,,Operating,,,,Jindal Steel & Power Ltd [100%],E100001000439 [100%],,Jindal Group,India,*,5.66,2023,,Surface,Open Pit,8.85,119,Exact,1185,Estimate,Lignite,Thermal,,,,,141,,-,25,,,-,,Mand Raigarh,,Raigarh,Chhattisgarh,Southern Asia,Asia,22.11866,83.53358,Exact,,,,,,,,,,,14.1,0.01,1.7,1.5,0.8,0.3,356
M0522,,India,Gare Palma IV 7 Coal Mine,"Mine 7, Coal Block Auction",,,https://www.gem.wiki/Gare_Palma_IV_7_Coal_Mine,,Operating,,,,Sarda Energy & Minerals Ltd [100%],E100001000694 [100%],,Sarda Energy and Minerals,India,1.2,1.44,2023,,Surface,Open Pit,4.2,50,Estimate,554,Estimate,Lignite,Thermal,,,,,142,2023,-,99,2022,,-,,Mand Raigarh,Karwahi,Raigarh,Chhattisgarh,Southern Asia,Asia,22.11866,83.53358,Exact,,,,,,,,,,,1.7,0.00,0.8,1.5,0.1,0,356
M0523,,India,Gare Palma IV 8 Coal Mine,Mine 8,,,https://www.gem.wiki/Gare_Palma_IV_8_Coal_Mine,,Operating,,,,Ambujia Cements Ltd [100%],E100001000639 [100%],,Adani Group,India,0.9,1,2023,,Underground & Surface,,4.9,75,Exact,495,Estimate,Lignite,Thermal,,,,,12,,-,12,2018,,-,,Mand Raigarh,,Raigarh,Chhattisgarh,Southern Asia,Asia,22.11866,83.53358,Exact,,,,,,,,,,,1.8,0.00,1.1,1.6,0.1,0,356
M0524,,India,Garjanbahal Coal Mine,,,,https://www.gem.wiki/Garjanbahal_coal_mine,,Operating,,,,Mahanadi Coalfields Ltd [100%],E100001000807 [100%],,Coal India,India,8,23.13,2023,,Surface,Open Pit,6.54,50,Estimate,1417,Estimate,Subbituminous,Thermal,,,,,187,2023,334,8,,,10,2023,Ib Valley,Basundhara,Sundergarh,Odisha,Southern Asia,Asia,22.034519,83.74266,Exact,,,,,,,,,,,27.8,0.02,0.8,1.5,1.5,0.6,356
M0527,,India,Gevra Coal Mine,,,,https://www.gem.wiki/Gevra_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,10,59.1,2023,,Surface,,40,50,Estimate,2113,Estimate,Subbituminous,Thermal,,,,,318,2022,-,5,1981,,16,2022,Korba,,Korba,Chhattisgarh,Southern Asia,Asia,22.336312,82.545748,Exact,Coal Plant,Korba Super Thermal Power Station (NTPC),https://www.gem.wiki/Korba_Super_Thermal_Power_Station_(NTPC),,,,,,,,70.9,0.05,0.8,1.5,3.9,1.4,356
M0528,,India,Gokul Coal Mine,,,,https://www.gem.wiki/Gokul_Mine,,Operating,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India,India,1.5,1.81,2023,,Surface,Open Pit,7.56,50,Estimate,528,Estimate,Subbituminous,Thermal,,,,,15,2014,-,8,2017,,-,,Umrer Nand Bander,Piraya,Nagpur,Maharashtra,Southern Asia,Asia,20.6697222,79.29638889,Exact,,,,,,,,,,,2.2,0.00,0.8,1.5,0.1,0,356
M0529,,India,Gondegaon-Ghatrohana Coal Mine,,,,https://www.gem.wiki/Gondegaon_mine,,Operating,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India,India,2.7,3.53,2023,,Surface,Open Pit,9.2,50,Estimate,479,Estimate,Subbituminous,Thermal,,,,,29,,-,8,,,-,,Nagpur,,,Maharashtra,Southern Asia,Asia,21.26629731,79.19242476,Exact,,,,,,,,,,,4.2,0.00,0.8,1.5,0.2,0.1,356
M0532,,India,Gouthamkhani Coal Mine,GK OC,,,https://www.gem.wiki/Gouthamkhani_coal_mine,,Operating,,,,The Singareni Collieries Co Ltd [100%],E100001000809 [100%],,Government of Telengana [51%]; Government of India [49%],India,3,0.127,2023,,Surface,Open Pit,9.02,254,Exact,301,Estimate,Subbituminous,Thermal,,,,,0,2023,76,0,1993,,-,,Bhadradri Kothagudem,,,Telangana,Southern Asia,Asia,17.2615,80.3738,Exact,,,,,,,,,,,0.6,0.00,3,1.5,0,0,356
M0533,,India,Hingula-II Coal Mine,Hingula Open Cast Project,,,https://www.gem.wiki/Hingula_II_coal_mine,,Operating,,,,Mahanadi Coalfields Ltd [100%],E100001000807 [100%],,Coal India,India,7.5,12.54,2023,,Surface,Open Pit,15.75,40,Exact,1525,Estimate,Lignite,Thermal,,,,,491,2022,-,39,2007,,35,,Talcher,,Angul,Odisha,Southern Asia,Asia,20.966051,85.01637,Exact,,,,,,,,,,,11.3,0.01,0.6,1.5,0.6,0.2,356
M0534,,India,Indaram Coal Mine Project,,,,https://www.gem.wiki/Indaram_coal_mine,,Operating,,New,,The Singareni Collieries Co Ltd [100%],E100001000809 [100%],,Government of Telengana [51%]; Government of India [49%],India,1.2,1.22,2023,,Surface,Open Pit,8.47,103,Exact,376,Estimate,Lignite,Thermal,,,,,25,2023,32,20,2020,,27,,Godavari,Indaram,Mancherial,Telangana,Southern Asia,Asia,18.775,79.46666667,Exact,,,,,,,,,,,2.7,0.00,1.5,1.5,0.1,0.1,356
M0536,,India,Itapara Coal Mine,Cluster 4 (ECL),,,https://www.gem.wiki/Itapara_coal_mine,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India,India,2.7,0.2,2023,,Surface,Open Pit,8.56,50,Estimate,370,Estimate,Lignite,Thermal,,,,,-,,-,-,2018,,26,2023,Raniganj,Asansol,Burdwan,West Bengal,Southern Asia,Asia,23.7879,86.9786,Exact,,,,,,,,,,,0.2,0.00,0.8,1.5,0,0,356
M0537,,India,Jagannath Coal Mine,,,,https://www.gem.wiki/Jagannath_coal_mine,,Operating,,,,Mahanadi Coalfields Ltd [100%],E100001000807 [100%],,Coal India,India,5,7.4,2023,,Surface,Open Pit,5.54,50,Estimate,862,Estimate,Lignite,Thermal,,,,,26,2023,87,4,1970,,7,2022,Talcher,,Angul,Odisha,Southern Asia,Asia,20.949857,85.147665,Exact,,,,,,,,,,,8.9,0.01,0.8,1.5,0.5,0.2,356
M0539,,India,Jamkhani Coal Mine,Jamkani,,,https://www.gem.wiki/Jamkhani_mine,,Operating,,,,Vedanta Ltd [100%],E100001000479 [100%],,Vedanta Ltd,India,2,2.11,2024,,Surface,Open Pit,10,60,Estimate,854,Estimate,Bituminous,Met,,,,,114,,-,54,2023,,-,,Ib Valley,,,Odisha,Southern Asia,Asia,22.105539,83.592888,Approximate,,Jharsuguda coal power plant,https://www.gem.wiki/Jharsuguda_CPP_power_station,,,,,,,,11.1,0.01,3.5,1.5,0.6,0.2,356
M0540,,India,Jampali Coal Mine,,,,https://www.gem.wiki/Jampali_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,1.5,1.37,2023,,Surface,Open Pit,6.58,50,Estimate,441,Estimate,Subbituminous,Thermal,,,,,31,2014,51,23,,,17,2014,Mand-Raigarh,Raigarh,Raigarh,Chhattisgarh,Southern Asia,Asia,22.2713889,83.2811,Exact,,,,,,,,,,,1.6,0.00,0.8,1.5,0.1,0,356
